Consentimento,Sede,Cargo,XP,Colaboradores,Dominio,Agil,Em quais cerimônias típicas de métodos ágeis você aplica gerência de riscos e/ou métricas? [Reunião de planejamento da sprint],Em quais cerimônias típicas de métodos ágeis você aplica gerência de riscos e/ou métricas? [Reunião de revisão da sprint],Em quais cerimônias típicas de métodos ágeis você aplica gerência de riscos e/ou métricas? [Reunião semanal],Em quais cerimônias típicas de métodos ágeis você aplica gerência de riscos e/ou métricas? [Reunião diária],Em quais cerimônias típicas de métodos ágeis você aplica gerência de riscos e/ou métricas?,Em quais cerimônias típicas de métodos ágeis você aplica gerência de riscos e/ou métricas? [Nenhuma das respostas acima],Você utiliza gestão de riscos no(s) time(s) ou na sua organização mesmo que informalmente?,Você considera as práticas existentes em métodos ágeis suficientes para o gerenciamento de riscos?,Quais processos de gerenciamento de riscos você normalmente realiza? [Planejamento da gestão de riscos],Quais processos de gerenciamento de riscos você normalmente realiza? [Identificação dos riscos],Quais processos de gerenciamento de riscos você normalmente realiza? [Análise qualitativa dos riscos],Quais processos de gerenciamento de riscos você normalmente realiza? [Análise quantitativa dos riscos],Quais processos de gerenciamento de riscos você normalmente realiza? [Priorização dos riscos],Quais processos de gerenciamento de riscos você normalmente realiza? [Planejamento de resposta aos riscos],Quais processos de gerenciamento de riscos você normalmente realiza? [Monitoramento e Controle dos riscos],Você utiliza métricas para acompanhamento das metas e objetivos do(s) time(s) ou da organização?,Em quais dos itens abaixo você aplica métricas para o gerenciamento?,Existe algum método ou processo estabelecido para definição ou seleção das métricas a serem utilizadas?
Sim,Sul,Product manager,5,8,energia,Scrum; Kanban,Métricas,,Métricas,,,,Sim,Não,Não implementa,Parcial,Não implementa,Não implementa,Não implementa,Não implementa,Não implementa,Sim,Cronograma e progresso; Produto; Tecnologia; Cliente,Não
Sim,Sul,Desenvolvedor(a),3,9,Financeiro,Scrum; Kanban,Métricas,Métricas,,,,,Sim,Não,Não implementa,Parcial,Parcial,Parcial,Parcial,Parcial,Parcial,Sim,Cronograma e progresso; Produto; Cliente,Não
Sim,Sul,Product manager,3,20,Eventos,Scrum,Gerenciamento de riscos,Métricas,,Gerenciamento de riscos,Gerenciamento de riscos; Métricas,,Sim,Sim,Parcial,Parcial,Não implementa,Não implementa,Não implementa,Parcial,Não implementa,Sim,Cronograma e progresso; Pessoas; Produto,Não
Sim,Sul,Team leader,6,4,gestão,Scrum; Kanban,Gerenciamento de riscos; Métricas,Gerenciamento de riscos,Gerenciamento de riscos,Gerenciamento de riscos,Métricas,,Sim,Sim,Parcial,Implementa completamente,Parcial,Parcial,Implementa completamente,Parcial,Parcial,Sim,Cronograma e progresso; Produto; Cliente,Não
Sim,Sul,Product manager,4,30,Agronegocio,Scrum; Kanban,Gerenciamento de riscos; Métricas,Métricas,,,Métricas,,Sim,Sim,Não implementa,Parcial,Não implementa,Não implementa,Parcial,Parcial,Parcial,Sim,Cronograma e progresso,Não
Sim,Sul,Scrum master,12,2200,Telecomunicações; Governo; Financeiro; Construção; E-commerce; Engenharia; mineração; agropecuária ,Scrum; Kanban; Lean; Safe,Gerenciamento de riscos,Gerenciamento de riscos; Métricas,Métricas,,Gerenciamento de riscos; Métricas,,Sim,Não,Não implementa; Parcial,Parcial,Parcial,Não implementa,Não implementa,Não implementa,Parcial,Sim,Pessoas; Produto; Processo; Cliente,Não
Sim,Sudeste,Engineering Manager,12,10,Financeiro,Scrum; Kanban; Lean,Gerenciamento de riscos; Métricas,Métricas,Gerenciamento de riscos,Métricas,Gerenciamento de riscos,,Sim,Sim,Implementa completamente,Implementa completamente,Implementa completamente,Implementa completamente,Implementa completamente,Implementa completamente,Implementa completamente,Sim,Cronograma e progresso; Pessoas; Produto; Tecnologia; Cliente,Sim
Sim,Sudeste,Team leader,18,7000,Financeiro,Kanban,Gerenciamento de riscos; Métricas,Gerenciamento de riscos; Métricas,Gerenciamento de riscos,,Gerenciamento de riscos,,Não,,,,,,,,,Sim,Pessoas; Produto; Tecnologia,Não
Sim,Norte,Project Manager,20,1600,Oil ,Scrum,Gerenciamento de riscos; Métricas,Gerenciamento de riscos,Gerenciamento de riscos,Gerenciamento de riscos,Métricas,,Sim,Sim,Parcial,Parcial,Parcial; Implementa completamente,Parcial,Parcial,Parcial,Parcial,Sim,Cronograma e progresso; Pessoas; Processo; Tecnologia; Cliente,Não
Sim,Nordeste,Product manager,16,1050,Saúde; Telecomunicações; Governo; Financeiro,ScrumBan,Gerenciamento de riscos; Métricas,Gerenciamento de riscos; Métricas,,Métricas,,,Sim,Não,Parcial,Parcial,Parcial,Parcial,Parcial,Parcial,Parcial,Sim,Cronograma e progresso; Pessoas; Produto; Cliente,Sim
